Date,Campaign Name,Total Unique Users,Total Visitors Completed,Impressions,Number of Clicks,Number of Conversions,Advertising Channel,Device Type,OS,Browser,Geographic Location,Start Time of Session,End Time of Session,Platform,Total Cost
2023-02-26,winter_campaign,1624,1041,3990,3559,497,Search Engine,Tablet,Android,Safari,Hamilton,2023-02-26 12:12:39,2023-02-26 13:12:39,Google,220
2023-12-01,winter_campaign,1759,987,4841,845,344,Email Marketing,Desktop,Windows,Chrome,Montreal,2023-12-01 12:27:14,2023-12-01 13:27:14,YouTube,908
2023-05-14,spring_campaign,871,542,4767,1695,635,Social Media,Tablet,Windows,Safari,Calgary,2023-05-14 10:51:33,2023-05-14 14:51:33,Facebook,541
2023-05-24,spring_campaign,612,591,3249,492,449,Search Engine,Mobile,iOS,Chrome,Montreal,2023-05-24 12:03:28,2023-05-24 17:03:28,Google,159
2023-04-25,spring_campaign,1996,644,1723,446,425,Email Marketing,Desktop,Windows,Safari,Hamilton,2023-04-25 07:53:38,2023-04-25 08:53:38,YouTube,936
2023-05-12,spring_campaign,613,548,3588,975,830,Email Marketing,Tablet,Android,Chrome,Montreal,2023-05-12 06:00:52,2023-05-12 10:00:52,Facebook,488
2023-03-16,spring_campaign,1600,626,3417,2941,1954,Search Engine,Mobile,Android,Firefox,Ottawa,2023-03-16 00:04:34,2023-03-16 04:04:34,Facebook,866
2023-10-24,fall_campaign,1255,1073,2745,486,147,Social Media,Desktop,Android,Safari,Vancouver,2023-10-24 13:03:28,2023-10-24 14:03:28,Google,382
2023-07-22,summer_campaign,929,821,4679,2217,898,Email Marketing,Mobile,Android,Chrome,Hamilton,2023-07-22 23:45:45,2023-07-23 02:45:45,Google,903
2023-05-28,spring_campaign,968,584,4460,4348,3875,Email Marketing,Mobile,iOS,Chrome,London,2023-05-28 07:18:44,2023-05-28 11:18:44,Facebook,915
2023-06-25,summer_campaign,1175,1107,2786,311,249,Social Media,Mobile,Android,Safari,London,2023-06-25 04:15:31,2023-06-25 07:15:31,Google,957
2023-08-17,summer_campaign,1825,1330,4450,1973,1522,Email Marketing,Mobile,Windows,Safari,Edmonton,2023-08-17 11:03:43,2023-08-17 16:03:43,Google,148
2023-04-28,spring_campaign,728,618,2109,758,689,Social Media,Tablet,iOS,Safari,Calgary,2023-04-28 18:06:47,2023-04-28 19:06:47,Google,637
2023-03-17,spring_campaign,697,674,2666,160,126,Social Media,Desktop,iOS,Firefox,Calgary,2023-03-17 07:23:30,2023-03-17 09:23:30,Google,948
2023-03-13,spring_campaign,972,631,2334,374,198,Social Media,Mobile,Android,Firefox,Montreal,2023-03-13 20:54:40,2023-03-14 00:54:40,Facebook,771
2023-12-14,winter_campaign,1749,431,3451,206,155,Search Engine,Tablet,Android,Safari,Vancouver,2023-12-14 01:55:17,2023-12-14 02:55:17,YouTube,484
2023-03-23,spring_campaign,1025,752,2748,2341,1578,Social Media,Desktop,Windows,Safari,Montreal,2023-03-23 07:21:59,2023-03-23 11:21:59,Facebook,184
2023-09-16,fall_campaign,633,569,2534,1007,798,Search Engine,Mobile,Android,Safari,Edmonton,2023-09-16 18:00:42,2023-09-16 19:00:42,YouTube,269
2023-09-30,fall_campaign,1039,917,3088,604,100,Email Marketing,Tablet,iOS,Chrome,Hamilton,2023-09-30 17:18:04,2023-09-30 18:18:04,Google,179
2023-08-10,summer_campaign,862,822,1672,588,447,Search Engine,Mobile,Android,Safari,Winnipeg,2023-08-10 19:37:43,2023-08-10 20:37:43,Google,129
2023-02-06,winter_campaign,1393,888,4718,711,334,Social Media,Tablet,Windows,Safari,Hamilton,2023-02-06 01:18:33,2023-02-06 02:18:33,Facebook,345
2023-02-09,winter_campaign,1556,1542,4987,2829,1888,Social Media,Mobile,Windows,Chrome,Toronto,2023-02-09 00:39:57,2023-02-09 04:39:57,Google,269
2023-01-26,winter_campaign,1376,1137,2485,154,121,Search Engine,Tablet,Windows,Firefox,Calgary,2023-01-26 01:02:15,2023-01-26 02:02:15,Facebook,865
2023-07-23,summer_campaign,657,598,2752,2586,2003,Social Media,Tablet,iOS,Chrome,Winnipeg,2023-07-23 22:31:32,2023-07-24 01:31:32,Facebook,788
2023-02-13,winter_campaign,1036,907,2578,203,19,Email Marketing,Mobile,Android,Safari,Winnipeg,2023-02-13 07:37:07,2023-02-13 10:37:07,Facebook,594
2023-04-01,spring_campaign,1145,422,3896,1139,475,Search Engine,Desktop,Android,Firefox,Vancouver,2023-04-01 11:40:33,2023-04-01 15:40:33,YouTube,452
2023-12-21,winter_campaign,1134,502,2031,75,70,Social Media,Mobile,iOS,Safari,Quebec City,2023-12-21 16:22:42,2023-12-21 18:22:42,YouTube,272
2023-07-23,summer_campaign,1017,989,4924,90,21,Search Engine,Mobile,iOS,Firefox,Winnipeg,2023-07-23 02:26:12,2023-07-23 04:26:12,Google,960
2023-04-11,spring_campaign,1289,1183,1192,1155,387,Email Marketing,Mobile,Windows,Firefox,Calgary,2023-04-11 18:22:05,2023-04-11 20:22:05,Facebook,970
2023-11-24,fall_campaign,833,500,4913,3139,1649,Email Marketing,Tablet,Android,Chrome,Ottawa,2023-11-24 05:30:05,2023-11-24 08:30:05,Google,278
2023-03-21,spring_campaign,699,455,4700,271,85,Email Marketing,Mobile,iOS,Safari,Calgary,2023-03-21 14:33:35,2023-03-21 18:33:35,Google,489
2023-01-03,winter_campaign,1279,1135,1954,799,400,Search Engine,Tablet,iOS,Firefox,Edmonton,2023-01-03 00:48:54,2023-01-03 05:48:54,YouTube,619
2023-03-31,spring_campaign,1250,871,3975,91,8,Search Engine,Tablet,Android,Chrome,Vancouver,2023-03-31 02:18:16,2023-03-31 06:18:16,Google,169
2023-10-07,fall_campaign,1167,1160,2260,2257,348,Social Media,Tablet,iOS,Firefox,Ottawa,2023-10-07 06:19:31,2023-10-07 07:19:31,Google,505
2023-08-11,summer_campaign,1925,981,3933,1398,1363,Search Engine,Tablet,Windows,Firefox,Edmonton,2023-08-11 08:59:07,2023-08-11 13:59:07,Facebook,947
2023-05-22,spring_campaign,720,658,1331,781,709,Search Engine,Desktop,Windows,Safari,Vancouver,2023-05-22 11:28:54,2023-05-22 15:28:54,Facebook,596
2023-11-23,fall_campaign,1120,761,3043,388,100,Search Engine,Tablet,Windows,Firefox,London,2023-11-23 04:19:50,2023-11-23 09:19:50,Facebook,535
2023-04-16,spring_campaign,1056,780,4779,502,385,Email Marketing,Tablet,Windows,Chrome,Vancouver,2023-04-16 12:06:26,2023-04-16 17:06:26,Google,460
2023-11-22,fall_campaign,803,744,1403,1068,504,Search Engine,Mobile,Windows,Safari,London,2023-11-22 04:31:14,2023-11-22 08:31:14,YouTube,767
2023-09-22,fall_campaign,1411,709,3828,423,139,Email Marketing,Desktop,Android,Firefox,Winnipeg,2023-09-22 19:51:37,2023-09-22 22:51:37,YouTube,519
2023-11-21,fall_campaign,1647,1267,3763,689,331,Email Marketing,Mobile,Windows,Safari,Quebec City,2023-11-21 01:05:24,2023-11-21 05:05:24,YouTube,540
2023-07-29,summer_campaign,1340,843,1507,1034,460,Social Media,Tablet,Android,Safari,Calgary,2023-07-29 07:30:12,2023-07-29 09:30:12,Google,801
2023-01-05,winter_campaign,1699,1184,1752,1267,730,Social Media,Tablet,iOS,Safari,Toronto,2023-01-05 04:14:50,2023-01-05 06:14:50,YouTube,659
2023-09-26,fall_campaign,1723,484,4966,4237,3698,Email Marketing,Tablet,Android,Safari,London,2023-09-26 06:07:59,2023-09-26 08:07:59,Facebook,745
2023-07-25,summer_campaign,1467,1395,2795,1992,462,Social Media,Tablet,Android,Firefox,Hamilton,2023-07-25 15:39:13,2023-07-25 17:39:13,Google,275
2023-06-13,summer_campaign,1219,792,3812,464,271,Social Media,Desktop,Windows,Firefox,Quebec City,2023-06-13 10:35:48,2023-06-13 15:35:48,YouTube,978
2023-02-16,winter_campaign,962,741,4304,1565,181,Email Marketing,Tablet,Android,Safari,Calgary,2023-02-16 21:23:18,2023-02-16 23:23:18,YouTube,439
2023-12-21,winter_campaign,1810,633,3484,406,222,Social Media,Tablet,Android,Firefox,London,2023-12-21 16:42:52,2023-12-21 21:42:52,Facebook,813
2023-12-24,winter_campaign,1729,1184,1302,254,71,Email Marketing,Tablet,Android,Safari,Edmonton,2023-12-24 12:52:03,2023-12-24 16:52:03,YouTube,728
2023-10-18,fall_campaign,1838,1443,1229,933,765,Social Media,Mobile,iOS,Chrome,Ottawa,2023-10-18 23:03:19,2023-10-19 03:03:19,Google,218
2023-02-19,winter_campaign,1523,557,3137,1490,145,Search Engine,Mobile,Windows,Safari,Calgary,2023-02-19 13:18:36,2023-02-19 17:18:36,YouTube,916
2023-02-08,winter_campaign,1065,760,1699,1675,1638,Search Engine,Tablet,Android,Chrome,Ottawa,2023-02-08 07:27:39,2023-02-08 12:27:39,YouTube,669
2023-07-21,summer_campaign,1777,1541,3902,3661,423,Social Media,Desktop,Windows,Chrome,Hamilton,2023-07-21 09:04:12,2023-07-21 12:04:12,Facebook,192
2023-08-15,summer_campaign,551,450,4306,2154,1824,Social Media,Desktop,Android,Chrome,Montreal,2023-08-15 19:02:13,2023-08-15 21:02:13,YouTube,386
2023-12-26,winter_campaign,1718,784,4653,2593,2581,Social Media,Tablet,iOS,Chrome,Montreal,2023-12-26 20:50:12,2023-12-26 21:50:12,YouTube,786
2023-03-07,spring_campaign,1238,902,4524,957,198,Search Engine,Mobile,iOS,Firefox,Ottawa,2023-03-07 03:19:38,2023-03-07 05:19:38,YouTube,313
2023-07-22,summer_campaign,1216,874,1085,95,11,Search Engine,Desktop,Windows,Firefox,Vancouver,2023-07-22 03:07:31,2023-07-22 07:07:31,YouTube,795
2023-12-16,winter_campaign,981,776,4084,994,980,Search Engine,Tablet,Windows,Firefox,Ottawa,2023-12-16 02:26:46,2023-12-16 07:26:46,Facebook,542
2023-04-28,spring_campaign,1357,1276,4841,3843,2056,Social Media,Desktop,iOS,Safari,Edmonton,2023-04-28 11:37:23,2023-04-28 12:37:23,Facebook,770
2023-02-21,winter_campaign,1317,501,3927,796,329,Search Engine,Mobile,iOS,Firefox,Calgary,2023-02-21 16:23:08,2023-02-21 17:23:08,Facebook,623
2023-03-17,spring_campaign,1948,759,3384,1780,622,Search Engine,Desktop,Android,Chrome,Montreal,2023-03-17 01:15:08,2023-03-17 02:15:08,YouTube,523
2023-04-10,spring_campaign,808,794,1377,205,75,Social Media,Tablet,Android,Safari,Winnipeg,2023-04-10 16:02:37,2023-04-10 17:02:37,Google,553
2023-11-17,fall_campaign,686,417,2503,2261,1945,Email Marketing,Desktop,Android,Firefox,London,2023-11-17 19:44:30,2023-11-17 20:44:30,Facebook,611
2023-07-01,summer_campaign,1248,1061,1072,596,119,Search Engine,Tablet,Android,Safari,Edmonton,2023-07-01 15:22:31,2023-07-01 18:22:31,Google,399
2023-01-20,winter_campaign,1022,921,3512,1404,1231,Search Engine,Mobile,Windows,Chrome,London,2023-01-20 02:59:52,2023-01-20 06:59:52,Google,228
2023-05-31,spring_campaign,1543,1282,3853,874,807,Search Engine,Mobile,Windows,Safari,Calgary,2023-05-31 18:45:18,2023-05-31 23:45:18,YouTube,923
2023-09-12,fall_campaign,1691,1234,1320,468,72,Social Media,Tablet,iOS,Firefox,London,2023-09-12 01:30:56,2023-09-12 06:30:56,YouTube,160
2023-10-25,fall_campaign,1386,711,3862,51,27,Social Media,Mobile,iOS,Firefox,Quebec City,2023-10-25 13:36:33,2023-10-25 14:36:33,YouTube,600
2023-06-13,summer_campaign,1978,527,1983,1735,238,Email Marketing,Mobile,iOS,Safari,Calgary,2023-06-13 18:48:56,2023-06-13 20:48:56,Facebook,835
2023-08-19,summer_campaign,1225,596,2350,286,87,Email Marketing,Tablet,Android,Chrome,Edmonton,2023-08-19 17:01:51,2023-08-19 22:01:51,Facebook,481
2023-04-10,spring_campaign,1034,948,2121,859,352,Email Marketing,Mobile,iOS,Safari,Ottawa,2023-04-10 23:55:06,2023-04-11 00:55:06,YouTube,493
2023-05-04,spring_campaign,1857,1374,3152,1305,1187,Social Media,Desktop,Windows,Chrome,Toronto,2023-05-04 16:03:09,2023-05-04 18:03:09,Google,421
2023-06-04,summer_campaign,1054,811,3296,3141,743,Social Media,Tablet,iOS,Safari,Montreal,2023-06-04 00:38:45,2023-06-04 02:38:45,YouTube,550
2023-03-15,spring_campaign,1868,1109,3001,1536,850,Social Media,Tablet,Windows,Firefox,Edmonton,2023-03-15 09:11:20,2023-03-15 10:11:20,YouTube,117
2023-01-22,winter_campaign,856,714,1651,1570,316,Email Marketing,Mobile,iOS,Chrome,Vancouver,2023-01-22 06:49:34,2023-01-22 08:49:34,Google,539
2023-11-23,fall_campaign,1553,1287,2762,2518,785,Search Engine,Tablet,Android,Safari,Edmonton,2023-11-23 20:48:17,2023-11-23 22:48:17,YouTube,792
2023-09-15,fall_campaign,1548,1338,1512,638,607,Social Media,Tablet,iOS,Firefox,Calgary,2023-09-15 22:27:37,2023-09-16 03:27:37,YouTube,617
2023-03-03,spring_campaign,1296,1291,3187,819,511,Email Marketing,Mobile,Windows,Firefox,Ottawa,2023-03-03 01:00:32,2023-03-03 06:00:32,Google,230
2023-12-25,winter_campaign,1620,594,1582,1267,239,Search Engine,Desktop,iOS,Firefox,Hamilton,2023-12-25 16:04:15,2023-12-25 21:04:15,Facebook,395
2023-01-06,winter_campaign,1460,935,3419,591,195,Social Media,Tablet,Android,Safari,Calgary,2023-01-06 00:13:58,2023-01-06 02:13:58,YouTube,548
2023-10-27,fall_campaign,1754,703,1727,508,247,Search Engine,Desktop,Windows,Safari,Vancouver,2023-10-27 16:15:07,2023-10-27 21:15:07,YouTube,843
2023-10-30,fall_campaign,1829,841,1679,1122,1048,Email Marketing,Mobile,Android,Firefox,Edmonton,2023-10-30 21:23:48,2023-10-31 00:23:48,Google,510
2023-05-07,spring_campaign,1050,550,1708,1308,879,Social Media,Tablet,Android,Safari,London,2023-05-07 23:55:34,2023-05-08 00:55:34,Google,377
2023-11-18,fall_campaign,1580,1040,1849,1678,283,Search Engine,Mobile,iOS,Safari,London,2023-11-18 14:52:23,2023-11-18 16:52:23,YouTube,106
2023-11-11,fall_campaign,1924,1502,4072,1464,300,Search Engine,Tablet,Android,Chrome,Toronto,2023-11-11 21:48:00,2023-11-12 01:48:00,Google,719
2023-03-24,spring_campaign,674,611,2816,577,547,Search Engine,Tablet,Windows,Firefox,Ottawa,2023-03-24 02:41:28,2023-03-24 06:41:28,Google,203
2023-01-31,winter_campaign,1082,904,3416,2724,408,Email Marketing,Mobile,Android,Safari,Winnipeg,2023-01-31 00:47:05,2023-01-31 02:47:05,YouTube,113
2023-07-09,summer_campaign,535,472,4147,3742,3605,Social Media,Desktop,Android,Chrome,Vancouver,2023-07-09 03:47:23,2023-07-09 05:47:23,Facebook,836
2023-05-18,spring_campaign,1601,1383,4847,766,470,Search Engine,Desktop,iOS,Firefox,Vancouver,2023-05-18 18:57:41,2023-05-18 19:57:41,YouTube,478
2023-07-15,summer_campaign,1130,533,2791,2721,1680,Email Marketing,Mobile,Android,Chrome,Winnipeg,2023-07-15 19:38:15,2023-07-15 21:38:15,Google,370
2023-07-05,summer_campaign,1522,1490,3679,882,540,Social Media,Tablet,Windows,Safari,Vancouver,2023-07-05 18:40:45,2023-07-05 19:40:45,Facebook,960
2023-06-28,summer_campaign,619,560,1593,139,54,Search Engine,Mobile,Android,Firefox,London,2023-06-28 17:35:23,2023-06-28 19:35:23,Google,883
2023-10-22,fall_campaign,1675,1101,2498,1986,1327,Email Marketing,Tablet,Android,Firefox,Montreal,2023-10-22 12:24:52,2023-10-22 13:24:52,Facebook,437
2023-09-24,fall_campaign,1880,1660,3105,1727,1240,Search Engine,Mobile,iOS,Safari,Hamilton,2023-09-24 09:56:00,2023-09-24 10:56:00,Google,973
2023-06-30,summer_campaign,1260,618,1570,200,106,Search Engine,Desktop,Windows,Chrome,Edmonton,2023-06-30 16:58:51,2023-06-30 20:58:51,YouTube,330
2023-01-20,winter_campaign,1316,931,4075,3251,484,Social Media,Tablet,Android,Chrome,Winnipeg,2023-01-20 13:09:04,2023-01-20 16:09:04,Google,428
2023-09-05,fall_campaign,1748,675,4355,736,671,Social Media,Desktop,Windows,Safari,Montreal,2023-09-05 22:18:07,2023-09-05 23:18:07,YouTube,496
2023-10-09,fall_campaign,1650,1166,1973,719,504,Email Marketing,Mobile,Windows,Firefox,Edmonton,2023-10-09 13:04:08,2023-10-09 18:04:08,Google,377
2023-06-23,summer_campaign,1038,895,4566,275,74,Email Marketing,Desktop,Windows,Chrome,London,2023-06-23 11:11:39,2023-06-23 14:11:39,YouTube,500
2023-09-18,fall_campaign,758,597,3290,230,21,Social Media,Desktop,iOS,Firefox,Vancouver,2023-09-18 21:48:42,2023-09-19 02:48:42,YouTube,816
2023-02-26,winter_campaign,661,611,4306,883,261,Email Marketing,Desktop,Android,Firefox,Toronto,2023-02-26 04:07:42,2023-02-26 08:07:42,Facebook,844
2023-01-07,winter_campaign,818,590,2005,1971,460,Social Media,Tablet,Windows,Firefox,Vancouver,2023-01-07 11:43:14,2023-01-07 12:43:14,YouTube,600
2023-05-26,spring_campaign,1408,477,1547,1197,190,Email Marketing,Tablet,Android,Firefox,Vancouver,2023-05-26 07:57:58,2023-05-26 11:57:58,Facebook,446
2023-06-25,summer_campaign,1557,955,3791,2050,576,Search Engine,Desktop,iOS,Firefox,Toronto,2023-06-25 19:29:16,2023-06-25 21:29:16,Facebook,338
2023-10-23,fall_campaign,598,410,1276,312,77,Social Media,Tablet,Windows,Chrome,Winnipeg,2023-10-23 21:15:30,2023-10-24 01:15:30,Facebook,636
2023-12-30,winter_campaign,816,638,1194,632,524,Social Media,Desktop,Android,Safari,Hamilton,2023-12-30 14:31:05,2023-12-30 16:31:05,Facebook,696
2023-11-21,fall_campaign,571,446,4534,4076,1983,Search Engine,Tablet,Windows,Firefox,Edmonton,2023-11-21 16:10:44,2023-11-21 19:10:44,YouTube,976
2023-05-07,spring_campaign,1333,452,2104,1518,165,Social Media,Tablet,Windows,Chrome,Hamilton,2023-05-07 09:52:32,2023-05-07 12:52:32,Google,733
2023-07-01,summer_campaign,1709,1402,4541,2492,1798,Search Engine,Mobile,Windows,Chrome,Hamilton,2023-07-01 18:52:37,2023-07-01 21:52:37,Google,151
